sku,level,board,board_label,tier_scope,status,listing_title,slug_candidate,price_early_bird,price_regular,early_bird_end_date,release_date,payhip_url,source_param,unit_key,unit_code,unit_title,section_key,section_code,section_title,subtopic_id,subtopic_code,subtopic_title,subtopic_count,section_count,unit_count,kahoot_url,worksheet_url,section_bundle_url,unit_bundle_url,deliver_now,deliver_on_release,bonus,presale_notes,terms_pdf_url,tags,notes
L1-CIE0580-C1-01,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core),l1-cie0580-c1-01,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-01-types-of-number,C1-01,types of number,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-01,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-01",
L1-CIE0580-C1-02,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core),l1-cie0580-c1-02,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-02-sets,C1-02,sets,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-02,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-02",
L1-CIE0580-C1-03,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core),l1-cie0580-c1-03,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-03-powers-and-roots,C1-03,powers and roots,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-03,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-03",
L1-CIE0580-C1-04,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core),l1-cie0580-c1-04,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-04-fractions-decimals-percentages,C1-04,fractions decimals percentages,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-04,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-04",
L1-CIE0580-C1-05,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core),l1-cie0580-c1-05,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-05-ordering,C1-05,ordering,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-05,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-05",
L1-CIE0580-C1-06,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core),l1-cie0580-c1-06,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-06-four-operations,C1-06,four operations,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-06,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-06",
L1-CIE0580-C1-07,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core),l1-cie0580-c1-07,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-07-indices-i,C1-07,indices i,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-07,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-07",
L1-CIE0580-C1-08,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core),l1-cie0580-c1-08,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-08-standard-form,C1-08,standard form,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-08,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-08",
L1-CIE0580-C1-09,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core),l1-cie0580-c1-09,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-09-estimation-and-approximation,C1-09,estimation and approximation,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-09,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-09",
L1-CIE0580-C1-10,L1,cie0580,CIE 0580,Core,presale,CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core),l1-cie0580-c1-10,US$3,US$4,2026-03-31,2026-04-30,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10,kahoot_cie0580_l1,number,U1,Number,number-c1,C1,Number (Core),cie0580:number-c1:c1-10-limits-of-accuracy,C1-10,limits of accuracy,1,,,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c1-10,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,https://payhip.com/25maths?src=cie0580-unit-number,Presale placeholder + entitlement confirmation + release updates.,SubTopic worksheet PDF + answers + Kahoot companion updates.,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.","Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",/payhip/presale/kahoot-presale-info-template.pdf,"kahoot,presale,l1,cie0580,core,unit:number,section:c1,subtopic:c1-10",
