sku,listing_title,final_title_en,title_variant_used,listing_title_short_en,listing_title_mobile_en,board_label,tier_scope,price_early_bird,price_regular,early_bird_end_date,release_date,main_cover_png,image_folder,subtitle_en,short_description_en,seo_title_en,cta_label_en,status_product_created,status_9_images_uploaded,status_copy_pasted,status_seo_configured,status_pricing_set,status_published,final_payhip_url,published_at_utc,notes
L1-CIE0580-C1-01,CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core),CIE 0580 C1-01 Types Of Number (Core),short,CIE 0580 C1-01 Types Of Number (Core),CIE 0580 C1-01 Types Of Number (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-01/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-01,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-01 Types Of Number (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-01 Types Of Number Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/vknup,,User provided final Payhip URL on 2026-02-20. Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-02,CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core),CIE 0580 C1-02 Sets (Core),short,CIE 0580 C1-02 Sets (Core),CIE 0580 C1-02 Sets (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-02/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-02,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-02 Sets (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-02 Sets Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/fgJ9w,,User provided final Payhip URL on 2026-02-20. Verified live (HTTP 200) on 2026-02-20. Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-03,CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core),CIE 0580 C1-03 Powers & Roots (Core),short,CIE 0580 C1-03 Powers & Roots (Core),CIE 0580 C1-03 Powers & Roots (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-03/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-03,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-03 Powers And Roots (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-03 Powers And Roots Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/vcAzs,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-04,CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core),CIE 0580 C1-04 FDP (Core),short,CIE 0580 C1-04 FDP (Core),CIE 0580 C1-04 FDP (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-04/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-04,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-04 Fractions Decimals Percentages (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-04 Fractions Decimals Percentages Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/rPFUm,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-05,CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core),CIE 0580 C1-05 Ordering (Core),short,CIE 0580 C1-05 Ordering (Core),CIE 0580 C1-05 Ordering (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-05/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-05,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-05 Ordering (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-05 Ordering Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/O3WfI,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-06,CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core),CIE 0580 C1-06 Four Operations (Core),short,CIE 0580 C1-06 Four Operations (Core),CIE 0580 C1-06 Four Operations (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-06/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-06,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-06 Four Operations (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-06 Four Operations Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/rURBl,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-07,CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core),CIE 0580 C1-07 Indices I (Core),short,CIE 0580 C1-07 Indices I (Core),CIE 0580 C1-07 Indices I (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-07/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-07,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-07 Indices I (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-07 Indices I Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/Hq7Jc,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-08,CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core),CIE 0580 C1-08 Standard Form (Core),short,CIE 0580 C1-08 Standard Form (Core),CIE 0580 C1-08 Standard Form (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-08/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-08,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-08 Standard Form (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-08 Standard Form Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/xHNkh,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-09,CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core),CIE 0580 C1-09 Estimation & Approximation (Core),short,CIE 0580 C1-09 Estimation & Approximation (Core),CIE 0580 C1-09 Estimation & Approximation (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-09/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-09,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-09 Estimation And Approximation (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-09 Estimation And Approximation Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/GHgD3,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
L1-CIE0580-C1-10,CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core),CIE 0580 C1-10 Limits Of Accuracy (Core),short,CIE 0580 C1-10 Limits Of Accuracy (Core),CIE 0580 C1-10 Limits Of Accuracy (Core),CIE 0580,Core,US$3,US$4,2026-03-31,2026-04-30,payhip/presale/listing-assets/l1/l1-cie0580-c1-10/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l1/l1-cie0580-c1-10,Early-Bird Presale | SubTopic MVP | Core,Early-bird presale for CIE 0580 C1-10 Limits Of Accuracy (Core). Worksheet + answers + Kahoot companion delivered on release.,CIE 0580 C1-10 Limits Of Accuracy Worksheet + Kahoot Companion (Core) | Early-Bird Presale,Get SubTopic Early-Bird Access,yes,yes,yes,yes,yes,yes,https://payhip.com/b/qIndv,"",Synced from _data/kahoot_subtopic_links.json on 2026-02-23.
