sku,level,board,listing_title,source_slug_candidate,source_payhip_url_seed,final_payhip_url,update_target_file,update_target_key_path,status_backfilled,status_verified_live,notes
L2-CIE0580-C1,L2,cie0580,CIE 0580 C1 Number (Core) Section Bundle,l2-cie0580-c1,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c1,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C1].section_bundle_payhip_url,"","",""
L2-CIE0580-C2,L2,cie0580,CIE 0580 C2 Algebra and Graphs (Core) Section Bundle,l2-cie0580-c2,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C2].section_bundle_payhip_url,"","",""
L2-CIE0580-C3,L2,cie0580,CIE 0580 C3 Coordinate Geometry (Core) Section Bundle,l2-cie0580-c3,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c3,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C3].section_bundle_payhip_url,"","",""
L2-CIE0580-C4,L2,cie0580,CIE 0580 C4 Geometry (Core) Section Bundle,l2-cie0580-c4,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c4,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C4].section_bundle_payhip_url,"","",""
L2-CIE0580-C5,L2,cie0580,CIE 0580 C5 Mensuration (Core) Section Bundle,l2-cie0580-c5,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c5,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C5].section_bundle_payhip_url,"","",""
L2-CIE0580-C6,L2,cie0580,CIE 0580 C6 Trigonometry (Core) Section Bundle,l2-cie0580-c6,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c6,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C6].section_bundle_payhip_url,"","",""
L2-CIE0580-C7,L2,cie0580,CIE 0580 C7 Transformations and Vectors (Core) Section Bundle,l2-cie0580-c7,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c7,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C7].section_bundle_payhip_url,"","",""
L2-CIE0580-C8,L2,cie0580,CIE 0580 C8 Probability (Core) Section Bundle,l2-cie0580-c8,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c8,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C8].section_bundle_payhip_url,"","",""
L2-CIE0580-C9,L2,cie0580,CIE 0580 C9 Statistics (Core) Section Bundle,l2-cie0580-c9,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c9,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-C9].section_bundle_payhip_url,"","",""
L2-CIE0580-E1,L2,cie0580,CIE 0580 E1 Number (Extended) Section Bundle,l2-cie0580-e1,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e1,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E1].section_bundle_payhip_url,"","",""
L2-CIE0580-E2,L2,cie0580,CIE 0580 E2 Algebra and Graphs (Extended) Section Bundle,l2-cie0580-e2,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E2].section_bundle_payhip_url,"","",""
L2-CIE0580-E3,L2,cie0580,CIE 0580 E3 Coordinate Geometry (Extended) Section Bundle,l2-cie0580-e3,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e3,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E3].section_bundle_payhip_url,"","",""
L2-CIE0580-E4,L2,cie0580,CIE 0580 E4 Geometry (Extended) Section Bundle,l2-cie0580-e4,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e4,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E4].section_bundle_payhip_url,"","",""
L2-CIE0580-E5,L2,cie0580,CIE 0580 E5 Mensuration (Extended) Section Bundle,l2-cie0580-e5,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e5,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E5].section_bundle_payhip_url,"","",""
L2-CIE0580-E6,L2,cie0580,CIE 0580 E6 Trigonometry (Extended) Section Bundle,l2-cie0580-e6,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e6,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E6].section_bundle_payhip_url,"","",""
L2-CIE0580-E7,L2,cie0580,CIE 0580 E7 Transformations and Vectors (Extended) Section Bundle,l2-cie0580-e7,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e7,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E7].section_bundle_payhip_url,"","",""
L2-CIE0580-E8,L2,cie0580,CIE 0580 E8 Probability (Extended) Section Bundle,l2-cie0580-e8,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e8,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E8].section_bundle_payhip_url,"","",""
L2-CIE0580-E9,L2,cie0580,CIE 0580 E9 Statistics (Extended) Section Bundle,l2-cie0580-e9,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e9,"",_data/kahoot_subtopic_links.json,links[sku=L2-CIE0580-E9].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F1,L2,edexcel-4ma1,Edexcel 4MA1 F1 Number and Arithmetic (Foundation) Section Bundle,l2-edx4ma1-f1,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f1,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F1].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F2,L2,edexcel-4ma1,"Edexcel 4MA1 F2 Equations, Formulae and Identities (Foundation) Section Bundle",l2-edx4ma1-f2,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f2,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F2].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F3,L2,edexcel-4ma1,"Edexcel 4MA1 F3 Functions, Sequences and Graphs (Foundation) Section Bundle",l2-edx4ma1-f3,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f3,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F3].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F4,L2,edexcel-4ma1,Edexcel 4MA1 F4 Geometry and Mensuration (Foundation) Section Bundle,l2-edx4ma1-f4,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f4,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F4].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F5,L2,edexcel-4ma1,Edexcel 4MA1 F5 Vectors and Transformations (Foundation) Section Bundle,l2-edx4ma1-f5,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f5,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F5].section_bundle_payhip_url,"","",""
L2-EDX4MA1-F6,L2,edexcel-4ma1,Edexcel 4MA1 F6 Statistics and Probability (Foundation) Section Bundle,l2-edx4ma1-f6,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=f6,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-F6].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H1,L2,edexcel-4ma1,Edexcel 4MA1 H1 Number and Arithmetic (Higher) Section Bundle,l2-edx4ma1-h1,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h1,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H1].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H2,L2,edexcel-4ma1,"Edexcel 4MA1 H2 Equations, Formulae and Identities (Higher) Section Bundle",l2-edx4ma1-h2,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h2,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H2].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H3,L2,edexcel-4ma1,"Edexcel 4MA1 H3 Functions, Sequences and Graphs (Higher) Section Bundle",l2-edx4ma1-h3,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h3,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H3].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H4,L2,edexcel-4ma1,Edexcel 4MA1 H4 Geometry and Mensuration (Higher) Section Bundle,l2-edx4ma1-h4,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h4,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H4].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H5,L2,edexcel-4ma1,Edexcel 4MA1 H5 Vectors and Transformations (Higher) Section Bundle,l2-edx4ma1-h5,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h5,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H5].section_bundle_payhip_url,"","",""
L2-EDX4MA1-H6,L2,edexcel-4ma1,Edexcel 4MA1 H6 Statistics and Probability (Higher) Section Bundle,l2-edx4ma1-h6,https://payhip.com/25maths?src=kahoot_edexcel_l2&asset=h6,"",_data/kahoot_subtopic_links.json,links[sku=L2-EDX4MA1-H6].section_bundle_payhip_url,"","",""
