sku,listing_title,final_title_en,title_variant_used,listing_title_short_en,listing_title_mobile_en,board_label,tier_scope,price_early_bird,price_regular,early_bird_end_date,release_date,main_cover_png,image_folder,subtitle_en,short_description_en,seo_title_en,cta_label_en,status_product_created,status_9_images_uploaded,status_copy_pasted,status_seo_configured,status_pricing_set,status_published,final_payhip_url,published_at_utc,notes
L3-CIE0580-U1,CIE 0580 U1 Number Unit Bundle,CIE 0580 U1 Number Unit,short,CIE 0580 U1 Number Unit,CIE 0580 U1 Number Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u1/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u1,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U1 Number. 2 sections / 34 subtopics with full unit support.,CIE 0580 U1 Number Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U2,CIE 0580 U2 Algebra and Graphs Unit Bundle,CIE 0580 U2 Algebra & Graphs Unit,short,CIE 0580 U2 Algebra & Graphs Unit,CIE 0580 U2 Algebra & Graphs Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u2/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u2,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U2 Algebra and Graphs. 2 sections / 22 subtopics with full unit support.,CIE 0580 U2 Algebra and Graphs Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U3,CIE 0580 U3 Coordinate Geometry Unit Bundle,CIE 0580 U3 Coord Geometry Unit,short,CIE 0580 U3 Coord Geometry Unit,CIE 0580 U3 Coord Geometry Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u3/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u3,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U3 Coordinate Geometry. 2 sections / 12 subtopics with full unit support.,CIE 0580 U3 Coordinate Geometry Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U4,CIE 0580 U4 Geometry Unit Bundle,CIE 0580 U4 Geometry Unit,short,CIE 0580 U4 Geometry Unit,CIE 0580 U4 Geometry Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u4/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u4,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U4 Geometry. 2 sections / 15 subtopics with full unit support.,CIE 0580 U4 Geometry Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U5,CIE 0580 U5 Mensuration Unit Bundle,CIE 0580 U5 Mensuration Unit,short,CIE 0580 U5 Mensuration Unit,CIE 0580 U5 Mensuration Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u5/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u5,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U5 Mensuration. 2 sections / 10 subtopics with full unit support.,CIE 0580 U5 Mensuration Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U6,CIE 0580 U6 Trigonometry Unit Bundle,CIE 0580 U6 Trigonometry Unit,short,CIE 0580 U6 Trigonometry Unit,CIE 0580 U6 Trigonometry Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u6/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u6,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U6 Trigonometry. 2 sections / 8 subtopics with full unit support.,CIE 0580 U6 Trigonometry Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U7,CIE 0580 U7 Transformations and Vectors Unit Bundle,CIE 0580 U7 Transforms & Vectors Unit,short,CIE 0580 U7 Transforms & Vectors Unit,CIE 0580 U7 Transforms & Vectors Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u7/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u7,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U7 Transformations and Vectors. 2 sections / 5 subtopics with full unit support.,CIE 0580 U7 Transformations and Vectors Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U8,CIE 0580 U8 Probability Unit Bundle,CIE 0580 U8 Probability Unit,short,CIE 0580 U8 Probability Unit,CIE 0580 U8 Probability Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u8/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u8,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U8 Probability. 2 sections / 7 subtopics with full unit support.,CIE 0580 U8 Probability Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-CIE0580-U9,CIE 0580 U9 Statistics Unit Bundle,CIE 0580 U9 Statistics Unit,short,CIE 0580 U9 Statistics Unit,CIE 0580 U9 Statistics Unit,CIE 0580,Core + Extended,US$20,US$25,2026-03-31,2026-04-30,payhip/presale/listing-assets/l3/l3-cie0580-u9/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-cie0580-u9,Early-Bird Presale | Unit Bundle | Core + Extended,Early-bird presale for CIE 0580 U9 Statistics. 2 sections / 11 subtopics with full unit support.,CIE 0580 U9 Statistics Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-EDX4MA1-U1,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle,Edexcel 4MA1 U1 Number & Arithmetic Unit,short,Edexcel 4MA1 U1 Number & Arithmetic Unit,Edexcel 4MA1 U1 Number & Arithmetic Unit,Edexcel 4MA1,Foundation + Higher,US$20,US$25,2026-04-30,2026-05-31,payhip/presale/listing-assets/l3/l3-edx4ma1-u1/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-edx4ma1-u1,Early-Bird Presale | Unit Bundle | Foundation + Higher,Early-bird presale for Edexcel 4MA1 U1 Number and Arithmetic. 2 sections / 22 subtopics with full unit support.,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle | Early-Bird Presale,Get Unit Early-Bird Access,"","","","","","","","",""
L3-EDX4MA1-U2,"Edexcel 4MA1 U2 Equations, Formulae and Identities Unit Bundle","Edexcel 4MA1 U2 Equations, Formulae & Identities Unit",short,"Edexcel 4MA1 U2 Equations, Formulae & Identities Unit","4MA1 U2 Equations, Formulae & Identities Unit",Edexcel 4MA1,Foundation + Higher,US$20,US$25,2026-04-30,2026-05-31,payhip/presale/listing-assets/l3/l3-edx4ma1-u2/01-cover-main-2320x1520-payhip.png,payhip/presale/listing-assets/l3/l3-edx4ma1-u2,Early-Bird Presale | Unit Bundle | Foundation + Higher,"Early-bird presale for Edexcel 4MA1 U2 Equations, Formulae and Identities. 2 sections / 16 subtopics with full unit support.","Edexcel 4MA1 U2 Equations, Formulae and Identities Unit Bundle | Early-Bird Presale",Get Unit Early-Bird Access,"","","","","","","","",""
