upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
4,L1-CIE0580-C1-01,L1,cie0580,CIE 0580,Core,CIE 0580 C1-01 Types Of Number (Core),short,37,CIE 0580 C1-01 Types Of Number (Core),CIE 0580 C1-01 Types Of Number (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-01
4,L1-CIE0580-C1-02,L1,cie0580,CIE 0580,Core,CIE 0580 C1-02 Sets (Core),short,26,CIE 0580 C1-02 Sets (Core),CIE 0580 C1-02 Sets (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-02
4,L1-CIE0580-C1-03,L1,cie0580,CIE 0580,Core,CIE 0580 C1-03 Powers & Roots (Core),short,36,CIE 0580 C1-03 Powers & Roots (Core),CIE 0580 C1-03 Powers & Roots (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-03
4,L1-CIE0580-C1-04,L1,cie0580,CIE 0580,Core,CIE 0580 C1-04 FDP (Core),short,25,CIE 0580 C1-04 FDP (Core),CIE 0580 C1-04 FDP (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-04
4,L1-CIE0580-C1-05,L1,cie0580,CIE 0580,Core,CIE 0580 C1-05 Ordering (Core),short,30,CIE 0580 C1-05 Ordering (Core),CIE 0580 C1-05 Ordering (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-05
4,L1-CIE0580-C1-06,L1,cie0580,CIE 0580,Core,CIE 0580 C1-06 Four Operations (Core),short,37,CIE 0580 C1-06 Four Operations (Core),CIE 0580 C1-06 Four Operations (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-06
4,L1-CIE0580-C1-07,L1,cie0580,CIE 0580,Core,CIE 0580 C1-07 Indices I (Core),short,31,CIE 0580 C1-07 Indices I (Core),CIE 0580 C1-07 Indices I (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-07
4,L1-CIE0580-C1-08,L1,cie0580,CIE 0580,Core,CIE 0580 C1-08 Standard Form (Core),short,35,CIE 0580 C1-08 Standard Form (Core),CIE 0580 C1-08 Standard Form (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-08
4,L1-CIE0580-C1-09,L1,cie0580,CIE 0580,Core,CIE 0580 C1-09 Estimation & Approximation (Core),short,48,CIE 0580 C1-09 Estimation & Approximation (Core),CIE 0580 C1-09 Estimation & Approximation (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-09
4,L1-CIE0580-C1-10,L1,cie0580,CIE 0580,Core,CIE 0580 C1-10 Limits Of Accuracy (Core),short,40,CIE 0580 C1-10 Limits Of Accuracy (Core),CIE 0580 C1-10 Limits Of Accuracy (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-10
4,L1-CIE0580-C1-11,L1,cie0580,CIE 0580,Core,CIE 0580 C1-11 Ratio & Proportion (Core),short,40,CIE 0580 C1-11 Ratio & Proportion (Core),CIE 0580 C1-11 Ratio & Proportion (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-11
4,L1-CIE0580-C1-12,L1,cie0580,CIE 0580,Core,CIE 0580 C1-12 Rates (Core),short,27,CIE 0580 C1-12 Rates (Core),CIE 0580 C1-12 Rates (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-12
4,L1-CIE0580-C1-13,L1,cie0580,CIE 0580,Core,CIE 0580 C1-13 Percentages (Core),short,33,CIE 0580 C1-13 Percentages (Core),CIE 0580 C1-13 Percentages (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-13
4,L1-CIE0580-C1-14,L1,cie0580,CIE 0580,Core,CIE 0580 C1-14 Calculator Use (Core),short,36,CIE 0580 C1-14 Calculator Use (Core),CIE 0580 C1-14 Calculator Use (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-14
4,L1-CIE0580-C1-15,L1,cie0580,CIE 0580,Core,CIE 0580 C1-15 Time (Core),short,26,CIE 0580 C1-15 Time (Core),CIE 0580 C1-15 Time (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-15
4,L1-CIE0580-C1-16,L1,cie0580,CIE 0580,Core,CIE 0580 C1-16 Money (Core),short,27,CIE 0580 C1-16 Money (Core),CIE 0580 C1-16 Money (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c1-16
4,L1-CIE0580-C2-01,L1,cie0580,CIE 0580,Core,CIE 0580 C2-01 Introduction To Algebra (Core),short,45,CIE 0580 C2-01 Introduction To Algebra (Core),CIE 0580 C2-01 Introduction To Algebra (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-01
4,L1-CIE0580-C2-02,L1,cie0580,CIE 0580,Core,CIE 0580 C2-02 Algebraic Manipulation (Core),short,44,CIE 0580 C2-02 Algebraic Manipulation (Core),CIE 0580 C2-02 Algebraic Manipulation (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-02
4,L1-CIE0580-C2-04,L1,cie0580,CIE 0580,Core,CIE 0580 C2-04 Indices Ii (Core),short,32,CIE 0580 C2-04 Indices Ii (Core),CIE 0580 C2-04 Indices Ii (Core),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-04
