upload_priority	sku	level	board	board_label	tier_scope	final_title_en	title_variant_used	final_title_len	listing_title_short_en	listing_title_mobile_en	price_early_bird	price_regular	payhip_url_seed
1	L3-CIE0580-U1	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U1 Number Unit	short	23	CIE 0580 U1 Number Unit	CIE 0580 U1 Number Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-number
1	L3-CIE0580-U2	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U2 Algebra & Graphs Unit	short	33	CIE 0580 U2 Algebra & Graphs Unit	CIE 0580 U2 Algebra & Graphs Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-algebra
1	L3-CIE0580-U3	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U3 Coord Geometry Unit	short	31	CIE 0580 U3 Coord Geometry Unit	CIE 0580 U3 Coord Geometry Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-coordinate
1	L3-CIE0580-U4	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U4 Geometry Unit	short	25	CIE 0580 U4 Geometry Unit	CIE 0580 U4 Geometry Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-geometry
1	L3-CIE0580-U5	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U5 Mensuration Unit	short	28	CIE 0580 U5 Mensuration Unit	CIE 0580 U5 Mensuration Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-mensuration
1	L3-CIE0580-U6	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U6 Trigonometry Unit	short	29	CIE 0580 U6 Trigonometry Unit	CIE 0580 U6 Trigonometry Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-trigonometry
1	L3-CIE0580-U7	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U7 Transforms & Vectors Unit	short	37	CIE 0580 U7 Transforms & Vectors Unit	CIE 0580 U7 Transforms & Vectors Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-transformations
1	L3-CIE0580-U8	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U8 Probability Unit	short	28	CIE 0580 U8 Probability Unit	CIE 0580 U8 Probability Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-probability
1	L3-CIE0580-U9	L3	cie0580	CIE 0580	Core + Extended	CIE 0580 U9 Statistics Unit	short	27	CIE 0580 U9 Statistics Unit	CIE 0580 U9 Statistics Unit	US$20	US$25	https://payhip.com/25maths?src=cie0580-unit-statistics
1	L3-EDX4MA1-U1	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U1 Number & Arithmetic Unit	short	40	Edexcel 4MA1 U1 Number & Arithmetic Unit	Edexcel 4MA1 U1 Number & Arithmetic Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-number
1	L3-EDX4MA1-U2	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U2 Equations, Formulae & Identities Unit	short	53	Edexcel 4MA1 U2 Equations, Formulae & Identities Unit	4MA1 U2 Equations, Formulae & Identities Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-equations
1	L3-EDX4MA1-U3	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit	short	50	Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit	Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-sequences
1	L3-EDX4MA1-U4	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U4 Geometry & Mensuration Unit	short	43	Edexcel 4MA1 U4 Geometry & Mensuration Unit	Edexcel 4MA1 U4 Geometry & Mensuration Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-geometry
1	L3-EDX4MA1-U5	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U5 Vectors & Transforms Unit	short	41	Edexcel 4MA1 U5 Vectors & Transforms Unit	Edexcel 4MA1 U5 Vectors & Transforms Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-vectors
1	L3-EDX4MA1-U6	L3	edexcel-4ma1	Edexcel 4MA1	Foundation + Higher	Edexcel 4MA1 U6 Stats & Prob Unit	short	33	Edexcel 4MA1 U6 Stats & Prob Unit	Edexcel 4MA1 U6 Stats & Prob Unit	US$20	US$25	https://payhip.com/25maths?src=edexcel4ma1-unit-statistics
