sku,level,final_title_en
L3-CIE0580-U1,L3,CIE 0580 U1 Number Unit
L3-CIE0580-U2,L3,CIE 0580 U2 Algebra & Graphs Unit
L3-CIE0580-U3,L3,CIE 0580 U3 Coord Geometry Unit
L3-CIE0580-U4,L3,CIE 0580 U4 Geometry Unit
L3-CIE0580-U5,L3,CIE 0580 U5 Mensuration Unit
L3-CIE0580-U6,L3,CIE 0580 U6 Trigonometry Unit
L3-CIE0580-U7,L3,CIE 0580 U7 Transforms & Vectors Unit
L3-CIE0580-U8,L3,CIE 0580 U8 Probability Unit
L3-CIE0580-U9,L3,CIE 0580 U9 Statistics Unit
L3-EDX4MA1-U1,L3,Edexcel 4MA1 U1 Number & Arithmetic Unit
L3-EDX4MA1-U2,L3,"Edexcel 4MA1 U2 Equations, Formulae & Identities Unit"
L3-EDX4MA1-U3,L3,"Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit"
L3-EDX4MA1-U4,L3,Edexcel 4MA1 U4 Geometry & Mensuration Unit
L3-EDX4MA1-U5,L3,Edexcel 4MA1 U5 Vectors & Transforms Unit
L3-EDX4MA1-U6,L3,Edexcel 4MA1 U6 Stats & Prob Unit
L4-CIE0580-ALLUNITS,L4,CIE 0580 All-Units Bundle
L4-EDX4MA1-ALLUNITS,L4,Edexcel 4MA1 All-Units Bundle
L2-CIE0580-C1,L2,CIE 0580 C1 Number (Core) Sec Bundle
L2-CIE0580-C2,L2,CIE 0580 C2 Algebra & Graphs (Core) Sec Bundle
L2-CIE0580-C3,L2,CIE 0580 C3 Coord Geometry (Core) Sec Bundle
L2-CIE0580-C4,L2,CIE 0580 C4 Geometry (Core) Sec Bundle
L2-CIE0580-C5,L2,CIE 0580 C5 Mensuration (Core) Sec Bundle
L2-CIE0580-C6,L2,CIE 0580 C6 Trigonometry (Core) Sec Bundle
L2-CIE0580-C7,L2,CIE 0580 C7 Transforms & Vectors (Core) Sec Bundle
L2-CIE0580-C8,L2,CIE 0580 C8 Probability (Core) Sec Bundle
L2-CIE0580-C9,L2,CIE 0580 C9 Statistics (Core) Sec Bundle
L2-CIE0580-E1,L2,CIE 0580 E1 Number (Extended) Sec Bundle
L2-CIE0580-E2,L2,CIE 0580 E2 Algebra & Graphs (Extended) Sec Bundle
L2-CIE0580-E3,L2,CIE 0580 E3 Coord Geometry (Extended) Sec Bundle
L2-CIE0580-E4,L2,CIE 0580 E4 Geometry (Extended) Sec Bundle
L2-CIE0580-E5,L2,CIE 0580 E5 Mensuration (Extended) Sec Bundle
L2-CIE0580-E6,L2,CIE 0580 E6 Trigonometry (Extended) Sec Bundle
L2-CIE0580-E7,L2,CIE 0580 E7 Transforms & Vectors (Extended) Sec Bundle
L2-CIE0580-E8,L2,CIE 0580 E8 Probability (Extended) Sec Bundle
L2-CIE0580-E9,L2,CIE 0580 E9 Statistics (Extended) Sec Bundle
L2-EDX4MA1-F1,L2,Edexcel 4MA1 F1 Number & Arithmetic (Foundation) Sec Bundle
L2-EDX4MA1-F2,L2,"4MA1 F2 Equations, Formulae & Identities (Fdn) Sec Bundle"
L2-EDX4MA1-F3,L2,"4MA1 F3 Functions, Sequences & Graphs (Fdn) Sec Bundle"
L2-EDX4MA1-F4,L2,4MA1 F4 Geometry & Mensuration (Fdn) Sec Bundle
L2-EDX4MA1-F5,L2,Edexcel 4MA1 F5 Vectors & Transforms (Foundation) Sec Bundle
L2-EDX4MA1-F6,L2,Edexcel 4MA1 F6 Stats & Prob (Foundation) Sec Bundle
L2-EDX4MA1-H1,L2,Edexcel 4MA1 H1 Number & Arithmetic (Higher) Sec Bundle
L2-EDX4MA1-H2,L2,"4MA1 H2 Equations, Formulae & Identities (H) Sec Bundle"
L2-EDX4MA1-H3,L2,"4MA1 H3 Functions, Sequences & Graphs (H) Sec Bundle"
L2-EDX4MA1-H4,L2,Edexcel 4MA1 H4 Geometry & Mensuration (Higher) Sec Bundle
L2-EDX4MA1-H5,L2,Edexcel 4MA1 H5 Vectors & Transforms (Higher) Sec Bundle
L2-EDX4MA1-H6,L2,Edexcel 4MA1 H6 Stats & Prob (Higher) Sec Bundle
L1-CIE0580-C1-01,L1,CIE 0580 C1-01 Types Of Number (Core)
L1-CIE0580-C1-02,L1,CIE 0580 C1-02 Sets (Core)
L1-CIE0580-C1-03,L1,CIE 0580 C1-03 Powers & Roots (Core)
L1-CIE0580-C1-04,L1,CIE 0580 C1-04 FDP (Core)
L1-CIE0580-C1-05,L1,CIE 0580 C1-05 Ordering (Core)
L1-CIE0580-C1-06,L1,CIE 0580 C1-06 Four Operations (Core)
L1-CIE0580-C1-07,L1,CIE 0580 C1-07 Indices I (Core)
L1-CIE0580-C1-08,L1,CIE 0580 C1-08 Standard Form (Core)
L1-CIE0580-C1-09,L1,CIE 0580 C1-09 Estimation & Approximation (Core)
L1-CIE0580-C1-10,L1,CIE 0580 C1-10 Limits Of Accuracy (Core)
L1-CIE0580-C1-11,L1,CIE 0580 C1-11 Ratio & Proportion (Core)
L1-CIE0580-C1-12,L1,CIE 0580 C1-12 Rates (Core)
L1-CIE0580-C1-13,L1,CIE 0580 C1-13 Percentages (Core)
L1-CIE0580-C1-14,L1,CIE 0580 C1-14 Calculator Use (Core)
