sku,level,final_title_en
L3-CIE0580-U1,L3,CIE 0580 U1 Number Unit
L3-CIE0580-U2,L3,CIE 0580 U2 Algebra & Graphs Unit
L3-CIE0580-U3,L3,CIE 0580 U3 Coord Geometry Unit
L3-CIE0580-U4,L3,CIE 0580 U4 Geometry Unit
L3-CIE0580-U5,L3,CIE 0580 U5 Mensuration Unit
L3-CIE0580-U6,L3,CIE 0580 U6 Trigonometry Unit
L3-CIE0580-U7,L3,CIE 0580 U7 Transforms & Vectors Unit
L3-CIE0580-U8,L3,CIE 0580 U8 Probability Unit
L3-CIE0580-U9,L3,CIE 0580 U9 Statistics Unit
L3-EDX4MA1-U1,L3,Edexcel 4MA1 U1 Number & Arithmetic Unit
L3-EDX4MA1-U2,L3,"Edexcel 4MA1 U2 Equations, Formulae & Identities Unit"
L3-EDX4MA1-U3,L3,"Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit"
L3-EDX4MA1-U4,L3,Edexcel 4MA1 U4 Geometry & Mensuration Unit
L3-EDX4MA1-U5,L3,Edexcel 4MA1 U5 Vectors & Transforms Unit
L3-EDX4MA1-U6,L3,Edexcel 4MA1 U6 Stats & Prob Unit
