upload_priority,sku,level,board,board_label,tier_scope,listing_title,listing_title_short_en,listing_title_mobile_en,listing_title_original_len,listing_title_short_len,listing_title_mobile_len,price_early_bird,price_regular,payhip_url_seed,slug_candidate
1,L3-CIE0580-U1,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U1 Number Unit Bundle,CIE 0580 U1 Number Unit,CIE 0580 U1 Number Unit,30,23,23,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-number,l3-cie0580-u1
1,L3-CIE0580-U2,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U2 Algebra and Graphs Unit Bundle,CIE 0580 U2 Algebra & Graphs Unit,CIE 0580 U2 Algebra & Graphs Unit,42,33,33,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-algebra,l3-cie0580-u2
1,L3-CIE0580-U3,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U3 Coordinate Geometry Unit Bundle,CIE 0580 U3 Coord Geometry Unit,CIE 0580 U3 Coord Geometry Unit,43,31,31,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-coordinate,l3-cie0580-u3
1,L3-CIE0580-U4,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U4 Geometry Unit Bundle,CIE 0580 U4 Geometry Unit,CIE 0580 U4 Geometry Unit,32,25,25,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-geometry,l3-cie0580-u4
1,L3-CIE0580-U5,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U5 Mensuration Unit Bundle,CIE 0580 U5 Mensuration Unit,CIE 0580 U5 Mensuration Unit,35,28,28,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-mensuration,l3-cie0580-u5
1,L3-CIE0580-U6,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U6 Trigonometry Unit Bundle,CIE 0580 U6 Trigonometry Unit,CIE 0580 U6 Trigonometry Unit,36,29,29,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-trigonometry,l3-cie0580-u6
1,L3-CIE0580-U7,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U7 Transformations and Vectors Unit Bundle,CIE 0580 U7 Transforms & Vectors Unit,CIE 0580 U7 Transforms & Vectors Unit,51,37,37,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-transformations,l3-cie0580-u7
1,L3-CIE0580-U8,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U8 Probability Unit Bundle,CIE 0580 U8 Probability Unit,CIE 0580 U8 Probability Unit,35,28,28,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-probability,l3-cie0580-u8
1,L3-CIE0580-U9,L3,cie0580,CIE 0580,Core + Extended,CIE 0580 U9 Statistics Unit Bundle,CIE 0580 U9 Statistics Unit,CIE 0580 U9 Statistics Unit,34,27,27,US$20,US$25,https://payhip.com/25maths?src=cie0580-unit-statistics,l3-cie0580-u9
1,L3-EDX4MA1-U1,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,Edexcel 4MA1 U1 Number and Arithmetic Unit Bundle,Edexcel 4MA1 U1 Number & Arithmetic Unit,Edexcel 4MA1 U1 Number & Arithmetic Unit,49,40,40,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-number,l3-edx4ma1-u1
1,L3-EDX4MA1-U2,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,"Edexcel 4MA1 U2 Equations, Formulae and Identities Unit Bundle","Edexcel 4MA1 U2 Equations, Formulae & Identities Unit","4MA1 U2 Equations, Formulae & Identities Unit",62,53,45,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-equations,l3-edx4ma1-u2
1,L3-EDX4MA1-U3,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,"Edexcel 4MA1 U3 Functions, Sequences and Graphs Unit Bundle","Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit","Edexcel 4MA1 U3 Functions, Sequences & Graphs Unit",59,50,50,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-sequences,l3-edx4ma1-u3
1,L3-EDX4MA1-U4,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,Edexcel 4MA1 U4 Geometry and Mensuration Unit Bundle,Edexcel 4MA1 U4 Geometry & Mensuration Unit,Edexcel 4MA1 U4 Geometry & Mensuration Unit,52,43,43,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-geometry,l3-edx4ma1-u4
1,L3-EDX4MA1-U5,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,Edexcel 4MA1 U5 Vectors and Transformations Unit Bundle,Edexcel 4MA1 U5 Vectors & Transforms Unit,Edexcel 4MA1 U5 Vectors & Transforms Unit,55,41,41,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-vectors,l3-edx4ma1-u5
1,L3-EDX4MA1-U6,L3,edexcel-4ma1,Edexcel 4MA1,Foundation + Higher,Edexcel 4MA1 U6 Statistics and Probability Unit Bundle,Edexcel 4MA1 U6 Stats & Prob Unit,Edexcel 4MA1 U6 Stats & Prob Unit,54,33,33,US$20,US$25,https://payhip.com/25maths?src=edexcel4ma1-unit-statistics,l3-edx4ma1-u6
