folder,section_code,listing_file,payhip_url
l1-cie0580-c1-03,C1.3,C1.3-Listing.md,https://payhip.com/b/vcAzs
l1-cie0580-c1-04,C1.4,C1.4-Listing.md,https://payhip.com/b/rPFUm
l1-cie0580-c1-05,C1.5,C1.5-Listing.md,https://payhip.com/b/O3WfI
l1-cie0580-c1-06,C1.6,C1.6-Listing.md,https://payhip.com/b/rURBl
l1-cie0580-c1-07,C1.7,C1.7-Listing.md,https://payhip.com/b/Hq7Jc
l1-cie0580-c1-08,C1.8,C1.8-Listing.md,https://payhip.com/b/xHNkh
l1-cie0580-c1-09,C1.9,C1.9-Listing.md,https://payhip.com/b/GHgD3
l1-cie0580-c1-10,C1.10,C1.10-Listing.md,https://payhip.com/b/qIndv
l1-cie0580-c1-11,C1.11,C1.11-Listing.md,https://payhip.com/b/2DnTA
l1-cie0580-c1-12,C1.12,C1.12-Listing.md,https://payhip.com/b/c7hZG
l1-cie0580-c1-13,C1.13,C1.13-Listing.md,https://payhip.com/b/iQz60
l1-cie0580-c1-14,C1.14,C1.14-Listing.md,https://payhip.com/b/BJHGu
l1-cie0580-c1-15,C1.15,C1.15-Listing.md,https://payhip.com/b/iOtHy
l1-cie0580-c1-16,C1.16,C1.16-Listing.md,https://payhip.com/b/Rvpbi
