folder,section_code,listing_file,payhip_url
l1-cie0580-c1-01,C1.1,C1.1-Listing.md,https://payhip.com/b/vknup
l1-cie0580-c1-02,C1.2,C1.2-Listing.md,https://payhip.com/b/fgJ9w
l1-cie0580-c1-03,C1.3,C1.3-Listing.md,https://payhip.com/b/vcAzs
l1-cie0580-c1-04,C1.4,C1.4-Listing.md,https://payhip.com/b/rPFUm
l1-cie0580-c1-05,C1.5,C1.5-Listing.md,https://payhip.com/b/O3WfI
l1-cie0580-c1-06,C1.6,C1.6-Listing.md,https://payhip.com/b/rURBl
l1-cie0580-c1-07,C1.7,C1.7-Listing.md,https://payhip.com/b/Hq7Jc
l1-cie0580-c1-08,C1.8,C1.8-Listing.md,https://payhip.com/b/xHNkh
l1-cie0580-c1-09,C1.9,C1.9-Listing.md,https://payhip.com/b/GHgD3
l1-cie0580-c1-10,C1.10,C1.10-Listing.md,https://payhip.com/b/qIndv
l1-cie0580-c1-11,C1.11,C1.11-Listing.md,https://payhip.com/b/2DnTA
l1-cie0580-c1-12,C1.12,C1.12-Listing.md,https://payhip.com/b/c7hZG
l1-cie0580-c1-13,C1.13,C1.13-Listing.md,https://payhip.com/b/iQz60
l1-cie0580-c1-14,C1.14,C1.14-Listing.md,https://payhip.com/b/BJHGu
l1-cie0580-c1-15,C1.15,C1.15-Listing.md,https://payhip.com/b/iOtHy
l1-cie0580-c1-16,C1.16,C1.16-Listing.md,https://payhip.com/b/Rvpbi
l1-cie0580-c2-01,C2.1,C2.1-Listing.md,https://payhip.com/b/J3iK4
l1-cie0580-c2-02,C2.2,C2.2-Listing.md,https://payhip.com/b/oyXVL
l1-cie0580-c2-04,C2.4,C2.4-Listing.md,https://payhip.com/b/6DEsU
l1-cie0580-c2-05,C2.5,C2.5-Listing.md,https://payhip.com/b/R6qT5
l1-cie0580-c2-06,C2.6,C2.6-Listing.md,https://payhip.com/b/obXDj
l1-cie0580-c2-07,C2.7,C2.7-Listing.md,https://payhip.com/b/xblgS
l1-cie0580-c2-09,C2.9,C2.9-Listing.md,https://payhip.com/b/zhucq
l1-cie0580-c2-10,C2.10,C2.10-Listing.md,https://payhip.com/b/IQ9nf
l1-cie0580-c2-11,C2.11,C2.11-Listing.md,https://payhip.com/b/WilUf
l1-cie0580-c3-01,C3.1,C3.1-Listing.md,https://payhip.com/b/DGFaq
l1-cie0580-c3-02,C3.2,C3.2-Listing.md,https://payhip.com/b/rC9AT
l1-cie0580-c3-03,C3.3,C3.3-Listing.md,https://payhip.com/b/r473G
l1-cie0580-c3-05,C3.5,C3.5-Listing.md,https://payhip.com/b/JdSkO
l1-cie0580-c3-06,C3.6,C3.6-Listing.md,https://payhip.com/b/zrOUv
l1-cie0580-c4-01,C4.1,C4.1-Listing.md,https://payhip.com/b/w1Zjk
l1-cie0580-c4-02,C4.2,C4.2-Listing.md,https://payhip.com/b/Mw3bE
l1-cie0580-c4-03,C4.3,C4.3-Listing.md,https://payhip.com/b/SpE83
l1-cie0580-c4-04,C4.4,C4.4-Listing.md,https://payhip.com/b/gmjbq
l1-cie0580-c4-05,C4.5,C4.5-Listing.md,https://payhip.com/b/ntyMB
l1-cie0580-c4-06,C4.6,C4.6-Listing.md,https://payhip.com/b/do27l
l1-cie0580-c4-07,C4.7,C4.7-Listing.md,https://payhip.com/b/Bqjs6
l1-cie0580-c5-01,C5.1,C5.1-Listing.md,https://payhip.com/b/9f5zw
l1-cie0580-c5-02,C5.2,C5.2-Listing.md,https://payhip.com/b/VAQ18
l1-cie0580-c5-03,C5.3,C5.3-Listing.md,https://payhip.com/b/EGPIX
l1-cie0580-c5-04,C5.4,C5.4-Listing.md,https://payhip.com/b/V9aT3
l1-cie0580-c5-05,C5.5,C5.5-Listing.md,https://payhip.com/b/mDFP9
l1-cie0580-c6-01,C6.1,C6.1-Listing.md,https://payhip.com/b/oxjvS
l1-cie0580-c6-02,C6.2,C6.2-Listing.md,https://payhip.com/b/CRsZ3
l1-cie0580-c7-01,C7.1,C7.1-Listing.md,https://payhip.com/b/x2QpY
l1-cie0580-c8-01,C8.1,C8.1-Listing.md,https://payhip.com/b/ghMbm
l1-cie0580-c8-02,C8.2,C8.2-Listing.md,https://payhip.com/b/KyDO7
l1-cie0580-c8-03,C8.3,C8.3-Listing.md,https://payhip.com/b/wcWyN
l1-cie0580-c9-01,C9.1,C9.1-Listing.md,https://payhip.com/b/JGliu
l1-cie0580-c9-02,C9.2,C9.2-Listing.md,https://payhip.com/b/l3p0d
l1-cie0580-c9-03,C9.3,C9.3-Listing.md,https://payhip.com/b/VGFqu
l1-cie0580-c9-04,C9.4,C9.4-Listing.md,https://payhip.com/b/nN6Db
l1-cie0580-e1-01,E1.1,E1.1-Listing.md,https://payhip.com/b/Injxw
l1-cie0580-e1-02,E1.2,E1.2-Listing.md,https://payhip.com/b/5jHCx
l1-cie0580-e1-03,E1.3,E1.3-Listing.md,https://payhip.com/b/WO4rz
l1-cie0580-e1-04,E1.4,E1.4-Listing.md,https://payhip.com/b/WCG9i
l1-cie0580-e1-05,E1.5,E1.5-Listing.md,https://payhip.com/b/L5WJy
l1-cie0580-e1-06,E1.6,E1.6-Listing.md,https://payhip.com/b/LvHkw
l1-cie0580-e1-07,E1.7,E1.7-Listing.md,https://payhip.com/b/WuOCw
l1-cie0580-e1-08,E1.8,E1.8-Listing.md,https://payhip.com/b/m0Avw
l1-cie0580-e1-09,E1.9,E1.9-Listing.md,https://payhip.com/b/oeXPw
l1-cie0580-e1-10,E1.10,E1.10-Listing.md,https://payhip.com/b/S3vB4
l1-cie0580-e1-11,E1.11,E1.11-Listing.md,https://payhip.com/b/uvc81
l1-cie0580-e1-12,E1.12,E1.12-Listing.md,https://payhip.com/b/5iP4L
l1-cie0580-e1-13,E1.13,E1.13-Listing.md,https://payhip.com/b/Awakv
l1-cie0580-e1-14,E1.14,E1.14-Listing.md,https://payhip.com/b/WElfF
l1-cie0580-e1-15,E1.15,E1.15-Listing.md,https://payhip.com/b/FS2n8
l1-cie0580-e1-16,E1.16,E1.16-Listing.md,https://payhip.com/b/Wqj0N
l1-cie0580-e1-17,E1.17,E1.17-Listing.md,https://payhip.com/b/I6AvU
l1-cie0580-e1-18,E1.18,E1.18-Listing.md,https://payhip.com/b/4ImLD
l1-cie0580-e2-01,E2.1,E2.1-Listing.md,https://payhip.com/b/8uBvQ
l1-cie0580-e2-02,E2.2,E2.2-Listing.md,https://payhip.com/b/kdCbX
l1-cie0580-e2-03,E2.3,E2.3-Listing.md,https://payhip.com/b/FNdGQ
